,Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,ExperimentID,StrainID,SourceID,BatchID,Duration.days,PondID,DateTime,TreatmentID,time.between.harvests.days,Harvest.,Harvest.Vol..L.,AFDW..g.L.,AFDW..g.,Depth.cm,Evaporation.Rate.cm.day,pH,Salinity,Temp.C,NO3.mg.L,NO3.PCT.RSD,P.mg.L,P.PCT.RSD,N.P.ratio,Tracking.ID,DW.g.L,DW.RSD,AFDW.g.L,AFDW.RSD,Ash,OD750,OD750.PCT.RSD,NO3.demand.g.N.g.AFDW,NH4.demand.g.N.g.AFDW,P.demand.g.P.g.AFDW,SiteID2,Temp.avg (C),Temp.max (C),Temp.min (C),Cond (mS.cm),DO (mg.L),DO (%sat),Sal (g.L),PAR (umol.m2.s)
7575,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,16.4,22.1,12.4,52025.21,9.38,119.71,34.25,
7576,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,,,,36925.46,9.27,98.64,23.33,
7577,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,19.41,26.1,13.5,40323.49,9.43,120.56,25.79,
7578,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,21.55,27.2,16.6,40903.52,8.73,116.78,26.2,
7579,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,23.31,28.2,18.9,42194.9,7.65,106.03,27.1,
7580,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,,,,45978.12,0.01,0.0,29.82,
7581,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,,,,27587.84,0.02,0.0,17.01,
7582,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,9.44,11.9,8.0,32608.91,8.62,86.03,20.29,
7583,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,12.25,14.3,10.1,35109.67,8.03,86.24,22.09,
7584,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,25.87,27.7,24.3,56881.62,6.58,100.53,37.83,
7585,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,26.79,32.4,24.4,49323.96,7.11,107.69,32.2,
7586,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,,,,55975.51,9.59,149.02,37.12,
7587,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,,,,55719.35,9.86,153.56,36.93,
7588,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,,,,53720.59,9.58,152.42,35.38,
7589,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,,,,54609.21,8.87,134.05,36.13,
7590,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,,,,53201.44,8.73,135.05,35.06,
7591,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,26.45,31.9,22.7,39950.26,7.84,114.01,25.45,
7592,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,26.4,32.2,23.8,47145.3,7.46,111.85,30.65,
7593,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,26.01,29.6,23.4,51957.12,7.85,118.35,34.14,
7594,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,27.6,33.4,23.7,54892.82,7.56,119.34,36.27,
7595,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,26.5,29.5,24.7,55382.06,7.07,108.99,36.69,
7596,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,25.3,27.3,24.4,49075.49,6.61,96.6,32.08,
7597,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,27.53,34.0,24.7,52744.8,7.51,117.5,34.69,
7598,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,23.97,26.4,23.4,54922.54,5.97,87.62,36.41,
7599,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,21.1,23.3,19.0,53891.57,6.99,96.99,35.67,
7600,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,21.74,25.1,19.0,54972.33,7.08,100.21,36.47,
7601,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,21.09,24.2,19.6,51907.25,7.1,97.9,34.2,
7602,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,22.76,27.33,19.22,52535.17,7.73,109.87,34.64,372.07
7603,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,13.69,20.7,9.5,48290.45,10.77,125.03,31.46,
7604,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,15.18,20.4,11.6,51372.65,9.95,121.28,33.75,
7605,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,15.35,20.1,12.4,50992.07,9.83,120.19,33.48,
7606,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,15.08,19.8,12.2,50432.97,10.09,122.55,33.06,
7607,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,14.27,18.9,11.4,50142.81,10.64,127.05,32.83,
7608,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,14.36,18.3,12.1,46445.73,10.98,129.5,30.16,
7609,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,14.17,17.7,12.3,48461.26,11.02,130.64,31.61,
7610,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,13.57,18.6,11.9,48361.3,11.7,137.07,31.52,
7611,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,15.16,20.0,12.2,49360.81,10.92,132.48,32.27,
7612,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,13.93,16.8,12.3,44464.56,11.48,133.11,28.74,
7613,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,13.14,15.3,11.6,41254.87,11.85,133.04,26.45,
7614,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,13.42,16.5,11.0,40161.3,12.05,135.54,25.67,
7615,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,12.68,17.7,8.5,41746.27,12.56,139.89,26.74,
7616,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,13.16,18.9,8.6,44571.82,12.1,137.32,28.77,
7617,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,13.27,18.9,8.3,48588.33,11.8,136.4,31.65,
7618,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,12.89,18.2,8.0,50609.35,11.84,137.12,33.1,
7619,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,14.14,18.4,11.6,51172.23,11.06,132.59,33.58,
7620,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,11.1,16.5,6.6,50586.14,12.49,139.33,32.99,
7621,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,11.16,16.8,6.0,50368.42,12.52,139.24,32.82,
7622,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,11.2,15.2,7.5,50256.89,12.38,138.32,32.77,
7623,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,11.7,17.4,6.3,49993.29,12.19,136.7,32.58,
7624,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,,,,40594.13,8.2,89.96,25.92,
7625,39.27,12.29,15.22,SEP102014,KA32,KA32_09152014_CRW,KA32_09152014_GT_P,20.7,P3,2014-10-06,"1x, 0.11",7.0,2.0,768.75,0.268333333,206.28125,24.6,,7.88,43.3,12.0,44.33,8.54,5.75,0.05,17.07,893.0,0.28,3.15,0.27,3.88,2.44,0.62,0.16,0.4,,0.015,GT,,,,39571.72,7.8,92.29,25.27,
7724,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,21.41,26.5,16.4,52604.94,6.98,97.86,34.7,505.22
7725,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,26.24,29.94,23.01,54469.85,6.46,97.87,36.01,
7726,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,27.15,32.44,22.9,60198.84,6.68,106.71,40.29,
7727,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,,,,57311.12,8.06,104.65,38.22,
7728,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,15.17,17.8,12.6,51075.49,8.67,106.74,33.54,
7729,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,21.57,24.2,19.5,42933.02,7.9,105.67,27.67,
7730,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,23.54,30.4,17.8,45095.53,8.71,122.91,29.17,
7731,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,23.2,23.7,22.3,34254.23,8.42,111.59,21.53,
7732,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,,,,54162.61,8.65,131.05,35.8,
7733,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,,,,44713.05,6.97,105.4,28.83,
7734,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,14.09,19.4,11.2,55706.38,8.42,103.35,36.91,
7735,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,11.03,15.5,7.9,56174.33,8.48,97.49,37.09,
7736,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,10.89,15.8,6.3,56671.75,8.55,97.99,37.43,
7737,37.74,11.03,12.24,JUN112014,KA32,KA32_06122014_R0,KA32_06122014_AP,24.73,P6,2014-07-07,"1x, 0.11",7.0,3.0,768.75,0.42305263200000004,325.2217105,21.75,0.67,7.99,36.3,23.1,32.67,4.4,4.41,0.06,16.39,614.0,0.42,0.15,0.42,1.6,-0.31,1.01,0.63,0.336,,0.03,CELL,11.58,14.7,8.3,55460.86,8.34,96.6,36.61,
