ExperimentID,Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,ExperimentID,StrainID_x,SourceID,BatchID,Duration.days,DateTime,TreatmentID,time.between.harvests.days,Harvest.,Harvest.Vol..L.,AFDW..g.L.,AFDW..g.,Depth.cm,Evaporation.Rate.cm.day,pH_x,Salinity,Temp.C,NO3.mg.L,NO3.PCT.RSD,P.mg.L,P.PCT.RSD,N.P.ratio,Tracking.ID,DW.g.L,DW.RSD,AFDW.g.L,AFDW.RSD,Ash,OD750,OD750.PCT.RSD,NO3.utilized.g,NO3.demand.g.N.g.AFDW,NH4.utilized.g,P.demand.g.P.g.AFDW,SiteID2,PondID,StrainID_y,pH_y,Temp.avg (C),Temp.max (C),Temp.min (C),Cond (mS.cm),DO (mg.L),DO (%sat),Sal (g.L),PAR (umol.m2.s),SiteID,Date,AirTemp(C),RH(%),GlobalLightEnergy(W.m2),WindSpeed(km.hr),WDir(deg),Precip.tot(cm),ExperimentPondID
APR032014,39.92,11.43,8.16,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,13.75,2014-04-21,"1x, 0.11",13.75,1.0,897.9,0.46555555600000004,418.0223333,28.7,0.56,7.96,31.7,16.7,71.0,,12.75,0.03,12.33,506.0,0.51,1.13,0.47,1.8,8.72,1.63,0.57,0.0,0.077,0.0,,FA,P2,KA32,7.91,21.72,28.4,16.5,52493.83,9.39,133.7,34.61,,FA,2014-04-21,19.87,52.44,210.17,3.59,250.31,0.0,APR032014P2
APR032014,,,,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,13.75,2014-04-21,"3x, 0.11",13.75,1.0,610.9,0.41666666700000005,254.54166669999998,28.4,0.77,7.93,31.9,16.6,70.0,,13.0,,11.92,507.0,0.46,0.72,0.42,1.39,9.42,1.43,0.43,0.0,0.6,0.0,,FA,P3,KA32,7.95,21.28,27.9,16.4,51225.73,9.4,131.59,33.67,,FA,2014-04-21,19.87,52.44,210.17,3.59,250.31,0.0,APR032014P3
APR032014,41.64,9.77,9.47,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,13.75,2014-04-21,"1x, 0.11",13.75,1.0,865.1,0.45888888899999997,396.9847778,28.4,0.71,7.9,28.7,16.8,65.0,,,,,508.0,0.51,1.13,0.46,1.11,10.02,1.57,0.39,0.0,1.0,0.0,,FA,P4,KA32,7.95,,,,49452.47,12.49,173.94,32.38,,FA,2014-04-21,19.87,52.44,210.17,3.59,250.31,0.0,APR032014P4
APR032014,40.84,11.04,9.16,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,13.75,2014-04-21,"3x, 0.11",13.75,1.0,635.5,0.46333333299999996,294.4483333,29.0,0.51,7.86,31.5,16.6,70.0,,,,,509.0,0.52,1.62,0.46,0.72,10.5,1.63,0.37,0.0,,0.0,,FA,P5,KA32,7.92,20.89,27.4,16.3,49917.18,9.41,130.0,32.75,,FA,2014-04-21,19.87,52.44,210.17,3.59,250.31,0.0,APR032014P5
APR032014,41.86,10.91,9.71,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,13.75,2014-04-21,"1x, 0.11",13.75,1.0,877.4,0.461111111,404.5788889,28.9,0.41,7.85,31.5,16.7,62.0,,,,,510.0,0.51,1.12,0.46,1.5,10.18,1.6,0.5,0.0,0.7,0.0,,FA,P6,KA32,7.88,21.67,28.6,16.5,50813.97,9.2,129.86,33.37,,FA,2014-04-21,19.87,52.44,210.17,3.59,250.31,0.0,APR032014P6
APR032014,39.85,11.4,13.18,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,20.75,2014-04-28,"3x, 0.11",3.010416667,4.0,225.5,0.436666667,98.46833333,24.2,,7.85,35.6,20.1,84.0,,11.6,,16.03,511.0,0.47,0.7,0.44,0.76,7.75,1.33,0.17,0.0,,0.0,0.008,FA,P1,KA32,7.93,25.75,30.8,22.4,55274.75,6.19,94.56,36.62,727.11,FA,2014-04-28,26.63,49.27,254.1,3.02,53.91,0.0,APR032014P1
APR032014,38.52,12.27,12.55,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,20.75,2014-04-28,"1x, 0.11",7.0,2.0,729.8,0.47444444399999997,346.2495556,24.2,,7.89,36.7,20.2,81.0,,6.85,,26.18,512.0,0.51,2.34,0.47,1.46,7.56,1.53,0.55,0.0,,0.0,0.035,FA,P2,KA32,7.92,25.8,30.9,22.3,57671.06,8.25,127.73,38.42,,FA,2014-04-28,26.63,49.27,254.1,3.02,53.91,0.0,APR032014P2
APR032014,,,,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,20.75,2014-04-28,"3x, 0.11",3.010416667,4.0,225.5,0.40444444399999996,91.20222222,24.2,,7.84,36.5,20.1,51.5,113.96,11.65,,9.79,513.0,0.44,1.91,0.4,0.95,7.84,1.35,0.3,0.0,0.081,0.0,0.033,FA,P3,KA32,7.96,25.75,30.7,22.4,57521.5,8.32,128.47,38.3,,FA,2014-04-28,26.63,49.27,254.1,3.02,53.91,0.0,APR032014P3
APR032014,39.09,12.27,13.26,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,20.75,2014-04-28,"1x, 0.11",7.0,2.0,738.0,0.491111111,362.44,24.3,,7.95,36.2,20.3,85.0,,6.45,,29.18,514.0,0.58,10.51,0.49,2.07,14.17,1.5,0.15,0.0,,0.0,0.03,FA,P4,KA32,7.95,,,,55612.58,9.83,150.96,36.86,,FA,2014-04-28,26.63,49.27,254.1,3.02,53.91,0.0,APR032014P4
APR032014,34.39,9.58,13.4,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,20.75,2014-04-28,"3x, 0.11",3.010416667,4.0,213.2,0.38222222200000006,81.48977778,24.2,,7.9,36.0,20.2,98.0,,16.5,,13.15,515.0,0.45,0.75,0.38,1.33,14.43,1.03,1.19,0.0,,0.0,,FA,P5,KA32,7.97,27.57,30.6,24.1,56617.86,7.58,120.15,37.57,,FA,2014-04-28,26.63,49.27,254.1,3.02,53.91,0.0,APR032014P5
APR032014,39.54,11.74,12.29,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,20.75,2014-04-28,"1x, 0.11",7.0,2.0,742.1,0.464444444,344.6642222,24.2,,7.77,37.2,20.2,81.0,,8.4,0.04,21.35,516.0,0.51,1.65,0.46,1.1,8.72,1.49,0.56,0.0,,0.0,0.031,FA,P6,KA32,7.89,26.24,31.7,22.4,55714.48,8.11,125.72,36.96,,FA,2014-04-28,26.63,49.27,254.1,3.02,53.91,0.0,APR032014P6
APR032014,,,,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,29.75,2014-05-07,"3x, 0.11",2.010416667,8.0,217.3,0.36,78.22800000000001,24.0,0.91,7.91,35.8,22.9,30.0,,11.8,,5.63,517.0,0.4,0.84,0.36,0.93,9.24,1.02,0.0,0.0,0.16699999999999998,0.0,,FA,P1,KA32,7.92,25.81,31.1,22.2,55384.91,7.59,116.38,36.7,659.83,FA,2014-05-07,24.58,50.54,306.15,1.47,262.97,0.0,APR032014P1
APR032014,,,,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,29.75,2014-05-07,,,,,,,24.2,0.91,7.86,37.1,22.9,90.0,4.71,15.0,,13.29,518.0,0.35,1.46,0.31,1.65,11.47,0.84,0.55,,,,0.01,FA,P2,KA32,7.86,25.56,31.2,22.2,56611.79,8.87,136.79,37.61,,FA,2014-05-07,24.58,50.54,306.15,1.47,262.97,0.0,APR032014P2
APR032014,,,,APR032014,KA32,KA32_04072014_FAMinipond_5,KA32_05052014_FAMiniponds,29.75,2014-05-07,"3x, 0.11",29.75,1.0,250.1,0.42166666700000005,105.45883329999998,24.8,,7.87,33.9,22.9,21.0,,9.0,,5.17,519.0,0.47,2.79,0.42,0.68,11.19,1.24,0.86,0.0,0.32899999999999996,0.0,,FA,P3,KA32,7.96,25.94,31.6,22.3,53074.85,8.27,126.03,34.97,,FA,2014-05-07,24.58,50.54,306.15,1.47,262.97,0.0,APR032014P3
APR032014,,,,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,29.75,2014-05-07,,,,,,,24.1,0.91,7.93,37.6,22.8,86.0,,15.0,,12.7,520.0,0.38,1.84,0.32,0.59,14.1,0.81,0.76,,,,0.005,FA,P4,KA32,7.94,,,,57001.44,9.16,141.3,37.89,,FA,2014-05-07,24.58,50.54,306.15,1.47,262.97,0.0,APR032014P4
APR032014,,,,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,29.75,2014-05-07,"3x, 0.11",2.010416667,8.0,254.2,0.363333333,92.35933333,24.7,,7.83,36.3,22.9,42.0,,11.4,,8.16,521.0,0.41,0.47,0.36,1.83,11.85,1.02,0.39,0.0,0.08199999999999999,0.0,,FA,P5,KA32,7.88,25.81,31.3,22.3,55398.07,7.21,110.99,36.7,,FA,2014-05-07,24.58,50.54,306.15,1.47,262.97,0.0,APR032014P5
APR032014,,,,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,29.75,2014-05-07,,,,,,,24.0,1.21,7.85,36.8,22.7,91.0,,14.5,,13.9,522.0,0.37,2.93,0.31,1.63,14.57,0.87,0.27,,,,,FA,P6,KA32,7.87,26.35,32.4,22.2,55964.05,8.77,136.58,37.11,,FA,2014-05-07,24.58,50.54,306.15,1.47,262.97,0.0,APR032014P6
APR032014,38.22,11.67,13.1,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,34.75,2014-05-12,"3x, 0.11",3.010416667,10.0,135.3,0.46833333299999996,63.3655,22.0,0.87,8.02,37.7,23.3,71.0,,,,,523.0,0.55,7.59,0.47,1.63,14.3,1.18,0.78,0.0,0.18899999999999997,0.0,,FA,P1,KA32,7.9,25.82,30.7,22.4,57736.08,7.06,109.42,38.46,641.05,FA,2014-05-12,25.82,54.02,219.77,2.48,182.81,0.0,APR032014P1
APR032014,38.11,11.76,12.57,APR032014,KA32,KA32_04072014_FAMinipond_5,KA32_05052014_FAMiniponds,34.75,2014-05-12,"3x, 0.11",3.010416667,3.0,180.4,0.488333333,88.09533333,22.5,0.72,8.03,35.1,23.5,65.0,0.0,,,,525.0,0.55,0.53,0.49,2.13,10.68,1.49,0.56,0.0,0.259,0.0,,FA,P3,KA32,7.96,26.18,31.7,22.4,55550.78,8.27,127.77,36.81,,FA,2014-05-12,25.82,54.02,219.77,2.48,182.81,0.0,APR032014P3
APR032014,39.4,11.9,12.62,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,34.75,2014-05-12,"1x, 0.11",7.010416667,4.0,639.6,0.47333333299999997,302.744,22.0,0.83,7.96,34.5,23.5,43.4,11.4,,,,526.0,0.68,38.52,0.47,1.61,24.28,1.34,0.17,0.0,0.41700000000000004,0.0,,FA,P4,KA32,7.95,,,,56584.44,7.17,111.42,37.59,,FA,2014-05-12,25.82,54.02,219.77,2.48,182.81,0.0,APR032014P4
APR032014,37.6,11.89,11.28,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,34.75,2014-05-12,"3x, 0.11",3.010416667,10.0,135.3,0.443333333,59.983000000000004,22.0,0.91,7.99,36.8,23.5,64.0,4.42,,,,527.0,0.51,0.57,0.44,2.84,12.78,1.44,0.28,0.0,0.32,0.0,,FA,P5,KA32,7.88,26.13,31.5,22.4,57905.18,7.68,119.67,38.58,,FA,2014-05-12,25.82,54.02,219.77,2.48,182.81,0.0,APR032014P5
APR032014,39.15,11.23,10.58,APR032014,KA32,KA32_04072014_Pooled,KA32_04072014_FAMiniponds,34.75,2014-05-12,"1x, 0.11",7.010416667,4.0,660.1,0.538333333,355.3538333,22.5,0.72,7.98,36.3,23.4,64.0,4.42,,,,528.0,0.59,2.6,0.54,2.34,8.22,1.52,0.15,0.0,0.161,0.0,,FA,P6,KA32,7.91,26.58,32.0,22.4,56270.1,8.74,137.35,37.37,,FA,2014-05-12,25.82,54.02,219.77,2.48,182.81,0.0,APR032014P6
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,19.69,2014-10-01,"3x, 0.214",2.0,4.0,512.5,0.1518,77.7975,23.25,0.6,8.0,35.6,24.4,77.56,1.13,9.42,0.01,18.22,550.0,0.17,21.12,0.15,1.9,10.5,0.32,1.86,0.0,0.10099999999999999,0.0,0.047,CELL,P1,KA32,7.72,26.31,31.09,22.93,54318.46,8.89,137.26,35.89,,CELL,2014-10-01,27.59,76.42,232.61,3.39,155.86,0.0,SEP102014P1
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,19.69,2014-10-01,"3x, 0.214",2.0,4.0,512.5,0.1548,79.335,23.25,,8.1,35.5,24.3,79.52,1.1,9.58,0.01,18.38,552.0,0.18,32.55,0.15,3.55,10.7,0.31,0.68,0.0,0.073,0.0,0.042,CELL,P2,KA32,7.69,26.34,31.13,22.94,53105.7,8.68,133.31,34.99,,CELL,2014-10-01,27.59,76.42,232.61,3.39,155.86,0.0,SEP102014P2
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,19.69,2014-10-01,"3x, 0.214",2.0,4.0,512.5,0.140866667,72.19416667,23.25,,8.0,35.8,24.4,77.7,1.43,9.98,0.01,17.24,553.0,0.15,0.77,0.14,1.42,7.73,0.31,0.19,0.0,0.124,0.0,0.046,CELL,P3,KA32,7.69,26.35,31.08,22.81,53460.52,8.83,136.0,35.25,465.73,CELL,2014-10-01,27.59,76.42,232.61,3.39,155.86,0.0,SEP102014P3
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,19.69,2014-10-01,"1x, 0.11",7.0,2.0,1025.0,0.1495,153.2375,24.75,,,,,52.64,2.44,7.38,0.01,15.8,554.0,0.14,1.28,0.15,0.6,-3.77,0.2,0.76,0.0,,0.0,,CELL,P4,KA32,7.7,27.53,31.63,24.16,51936.82,5.21,80.21,34.24,,CELL,2014-10-01,27.59,76.42,232.61,3.39,155.86,0.0,SEP102014P4
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,19.69,2014-10-01,"1x, 0.11",7.0,2.0,1025.0,0.12325,126.33125,23.5,,,,,46.06,1.39,7.48,0.01,13.63,556.0,0.12,2.99,0.12,1.58,-5.28,0.21,0.27,41.861000000000004,0.21,0.0,0.026000000000000002,CELL,P6,KA32,7.65,26.66,31.16,23.11,52557.96,6.03,91.51,34.68,,CELL,2014-10-01,27.59,76.42,232.61,3.39,155.86,0.0,SEP102014P6
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,0.04,2014-09-11,,,,,,,25.0,,7.54,34.2,30.6,78.4,6.66,12.8,0.03,13.56,558.0,0.04,0.44,0.04,1.09,-2.31,0.11,1.36,,,,,CELL,P1,KA32,7.84,26.71,30.89,24.48,54055.87,6.72,103.04,35.69,,CELL,2014-09-11,27.49,74.22,44.64,3.53,144.84,0.03,SEP102014P1
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,0.04,2014-09-11,,,,,,,25.0,,7.45,35.6,30.7,77.56,6.77,13.08,0.02,13.13,559.0,0.04,1.72,0.04,12.59,-6.31,0.11,5.82,,,,,CELL,P2,KA32,7.81,26.87,30.94,24.53,54692.23,7.05,108.66,36.16,,CELL,2014-09-11,27.49,74.22,44.64,3.53,144.84,0.03,SEP102014P2
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,0.04,2014-09-11,,,,,,,25.0,,7.59,35.0,30.8,74.48,4.73,12.9,0.02,12.79,560.0,0.04,5.97,0.04,5.03,2.18,0.11,1.75,,,,,CELL,P3,KA32,7.86,27.1,31.03,24.59,53836.7,6.59,101.67,35.52,102.54,CELL,2014-09-11,27.49,74.22,44.64,3.53,144.84,0.03,SEP102014P3
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,0.04,2014-09-11,,,,,,,25.0,,7.58,36.1,32.3,72.52,3.19,12.74,0.05,12.6,561.0,0.04,8.49,0.04,5.35,4.27,0.11,1.06,,,,,CELL,P4,KA32,7.36,28.3,32.48,25.64,55510.51,6.68,105.81,36.73,,CELL,2014-09-11,27.49,74.22,44.64,3.53,144.84,0.03,SEP102014P4
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,0.04,2014-09-11,,,,,,,26.0,,7.55,34.6,32.1,70.28,1.5,12.62,0.07,12.33,562.0,0.04,9.14,0.04,4.77,0.14,0.11,1.36,,,,,CELL,P5,KA32,7.87,27.7,32.28,24.85,53287.97,6.87,106.8,35.09,,CELL,2014-09-11,27.49,74.22,44.64,3.53,144.84,0.03,SEP102014P5
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,0.04,2014-09-11,,,,,,,25.0,,7.59,35.6,31.7,69.72,0.6,12.58,0.07,12.27,563.0,0.04,4.42,0.04,1.88,5.97,0.11,1.57,,,,,CELL,P6,KA32,7.88,27.37,31.92,24.77,55075.83,6.5,101.3,36.43,,CELL,2014-09-11,27.49,74.22,44.64,3.53,144.84,0.03,SEP102014P6
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,6.69,2014-09-18,,,,,,,24.5,,7.9,36.1,29.8,,,,,,564.0,,,,,,0.7,1.73,,,,,CELL,P1,KA32,7.85,27.51,33.25,23.57,54381.65,8.04,126.32,35.9,,CELL,2014-09-18,27.05,82.22,283.0,3.7,198.91,0.0,SEP102014P1
SEP102014,34.02,,5.72,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,6.69,2014-09-18,,,,,,,24.75,,8.0,35.9,29.9,,,,,,565.0,,,,,,0.65,0.3,,,,,CELL,P2,KA32,7.83,27.48,33.25,23.55,53617.3,8.33,130.34,35.33,,CELL,2014-09-18,27.05,82.22,283.0,3.7,198.91,0.0,SEP102014P2
SEP102014,35.26,,7.28,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,6.69,2014-09-18,,,,,,,24.75,,7.9,35.7,29.6,,,,,,566.0,,,,,,0.66,0.51,,,,,CELL,P3,KA32,7.86,27.28,32.95,23.45,53578.06,8.0,124.61,35.31,590.52,CELL,2014-09-18,27.05,82.22,283.0,3.7,198.91,0.0,SEP102014P3
SEP102014,34.65,,7.23,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,6.69,2014-09-18,,,,,,,25.75,,8.0,36.2,30.5,,,,,,567.0,,,,,,0.63,0.0,,,,,CELL,P4,KA32,7.81,28.84,35.07,24.47,54363.4,7.83,125.55,35.84,,CELL,2014-09-18,27.05,82.22,283.0,3.7,198.91,0.0,SEP102014P4
SEP102014,26.46,,6.58,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,6.69,2014-09-18,,,,,,,25.75,,7.9,36.2,30.4,,,,,,568.0,,,,,,0.65,0.0,,,,,CELL,P5,KA32,7.87,27.74,33.69,23.6,53981.75,7.81,122.74,35.6,,CELL,2014-09-18,27.05,82.22,283.0,3.7,198.91,0.0,SEP102014P5
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,6.69,2014-09-18,,,,,,,24.75,,7.9,37.0,30.0,,,,,,569.0,,,,,,0.63,0.31,,,,,CELL,P6,KA32,7.86,27.56,33.27,23.65,55861.91,7.51,118.79,37.0,,CELL,2014-09-18,27.05,82.22,283.0,3.7,198.91,0.0,SEP102014P6
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,7.69,2014-09-19,,,,,,,23.75,0.75,7.9,36.2,23.7,58.33,2.0,7.61,0.01,16.98,570.0,0.32,1.02,0.33,0.96,-2.14,0.8,1.05,,0.10099999999999999,,0.01,CELL,P1,KA32,7.86,27.54,33.73,22.66,55294.11,7.91,124.82,36.58,,CELL,2014-09-19,27.68,77.72,286.17,3.57,193.67,0.0,SEP102014P1
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,7.69,2014-09-19,,,,,,,23.75,1.0,8.0,36.2,23.5,59.08,2.46,7.65,0.01,17.11,571.0,0.3,6.53,0.31,2.45,-3.65,0.77,1.15,,0.11,,0.009000000000000001,CELL,P2,KA32,7.85,27.44,33.75,22.54,54725.46,8.2,128.84,36.15,,CELL,2014-09-19,27.68,77.72,286.17,3.57,193.67,0.0,SEP102014P2
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,7.69,2014-09-19,,,,,,,23.75,1.0,7.9,36.1,23.4,57.4,2.53,8.02,0.0,15.85,572.0,0.31,3.54,0.31,1.27,-0.67,0.77,0.5,,0.13,,0.011000000000000001,CELL,P3,KA32,7.87,27.25,33.48,22.42,54866.76,7.83,122.69,36.26,581.45,CELL,2014-09-19,27.68,77.72,286.17,3.57,193.67,0.0,SEP102014P3
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,7.69,2014-09-19,,,,,,,25.0,0.75,7.8,36.6,23.9,57.21,2.83,7.83,0.01,16.18,573.0,0.3,1.79,0.3,0.72,-2.52,0.74,0.0,,0.128,,0.011000000000000001,CELL,P4,KA32,7.8,28.92,35.69,23.53,55580.9,7.69,124.02,36.74,,CELL,2014-09-19,27.68,77.72,286.17,3.57,193.67,0.0,SEP102014P4
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,7.69,2014-09-19,,,,,,,24.75,1.0,7.9,36.5,23.8,58.71,3.07,8.35,0.0,15.57,574.0,0.32,5.03,0.31,2.12,2.74,0.75,0.26,,0.136,,0.013000000000000001,CELL,P5,KA32,7.87,27.8,34.24,22.59,55323.29,7.66,121.33,36.59,,CELL,2014-09-19,27.68,77.72,286.17,3.57,193.67,0.0,SEP102014P5
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,7.69,2014-09-19,,,,,,,24.0,0.75,7.9,37.6,23.7,58.8,3.72,8.31,0.01,15.67,575.0,0.29,13.43,0.31,1.08,-5.84,0.74,0.26,,0.115,,0.022000000000000002,CELL,P6,KA32,7.87,27.7,33.84,22.78,56442.12,7.55,120.0,37.43,,CELL,2014-09-19,27.68,77.72,286.17,3.57,193.67,0.0,SEP102014P6
SEP102014,37.16,11.93,6.99,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,12.69,2014-09-24,"3x, 0.214",12.69444444,1.0,512.5,0.453125,232.2265625,23.25,0.25,8.4,35.7,23.0,47.79,0.68,,,,576.0,0.44,1.46,0.45,1.13,-4.02,1.09,1.15,0.0,0.075,0.0,,CELL,P1,KA32,7.69,26.52,31.28,22.6,54596.41,6.63,103.0,36.09,,CELL,2014-09-24,27.77,74.55,277.34,4.26,175.16,0.0,SEP102014P1
SEP102014,32.79,11.87,7.76,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,12.69,2014-09-24,"3x, 0.214",12.69444444,1.0,512.5,0.489047619,250.6369048,23.5,,8.1,35.6,22.9,47.23,0.34,,,,577.0,0.46,0.77,0.49,1.19,-5.33,1.27,0.15,0.0,0.044000000000000004,0.0,,CELL,P2,KA32,7.83,26.4,31.21,22.49,53773.61,8.04,123.99,35.53,,CELL,2014-09-24,27.77,74.55,277.34,4.26,175.16,0.0,SEP102014P2
SEP102014,37.58,6.93,6.53,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,12.69,2014-09-24,"3x, 0.214",12.69444444,1.0,512.5,0.30924242399999996,158.48674240000003,23.5,0.25,7.7,35.6,22.8,46.29,0.7,,,,578.0,0.3,0.54,0.31,1.12,-4.09,0.73,2.11,0.0,,0.0,,CELL,P3,KA32,7.49,26.53,31.46,22.51,54675.35,4.31,66.96,36.15,559.44,CELL,2014-09-24,27.77,74.55,277.34,4.26,175.16,0.0,SEP102014P3
SEP102014,36.81,11.75,6.79,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,12.69,2014-09-24,"1x, 0.11",12.69444444,1.0,768.75,0.436666667,335.6875,24.75,,7.9,36.1,24.2,44.33,0.36,,,,579.0,0.43,1.25,0.44,0.92,-2.36,1.12,0.17,0.0,0.201,0.0,,CELL,P4,KA32,7.71,27.78,32.98,23.59,53545.84,7.04,111.01,35.39,,CELL,2014-09-24,27.77,74.55,277.34,4.26,175.16,0.0,SEP102014P4
SEP102014,39.04,11.27,6.98,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,12.69,2014-09-24,"1x, 0.11",12.69444444,1.0,768.75,0.39745098,305.5404412,24.5,,7.7,35.2,23.2,41.81,0.39,,,,580.0,0.38,0.84,0.4,0.99,-3.58,1.0,0.84,0.0,,0.0,,CELL,P5,KA32,7.54,27.4,33.26,22.81,54180.4,5.23,82.41,35.75,,CELL,2014-09-24,27.77,74.55,277.34,4.26,175.16,0.0,SEP102014P5
SEP102014,36.95,12.34,7.57,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,12.69,2014-09-24,"1x, 0.11",12.69444444,1.0,768.75,0.47266666700000004,363.3625,23.75,,8.1,38.1,23.2,46.62,0.9,6.34,0.06,16.28,581.0,0.47,4.65,0.47,2.2,-0.76,1.24,0.81,0.0,0.012,0.0,0.003,CELL,P6,KA32,7.82,27.07,32.48,22.98,55749.55,8.59,134.91,36.95,,CELL,2014-09-24,27.77,74.55,277.34,4.26,175.16,0.0,SEP102014P6
SEP102014,20.37,,9.0,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,17.69,2014-09-29,"3x, 0.214",3.0,3.0,512.5,0.1658,84.9725,22.5,0.42,8.0,35.7,29.2,80.48,2.06,10.12,0.01,17.61,582.0,0.16,2.09,0.17,1.54,-1.79,0.33,0.46,0.0,,0.0,0.036000000000000004,CELL,P1,KA32,7.72,26.98,31.01,23.56,54900.8,8.33,130.06,36.31,,CELL,2014-09-29,27.7,78.59,261.74,4.72,161.64,0.0,SEP102014P1
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,17.69,2014-09-29,"3x, 0.214",3.0,3.0,512.5,0.152592593,78.2037037,22.5,0.42,8.1,34.6,29.6,81.41,1.64,10.87,0.01,16.58,583.0,0.14,4.99,0.15,2.08,-7.08,0.33,0.46,0.0,,0.0,0.057,CELL,P2,KA32,7.68,26.99,31.09,23.58,53645.85,7.54,117.0,35.38,,CELL,2014-09-29,27.7,78.59,261.74,4.72,161.64,0.0,SEP102014P2
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,17.69,2014-09-29,"3x, 0.214",3.0,3.0,512.5,0.13630303,69.85530303,22.75,0.33,8.1,35.1,29.7,86.52,0.84,12.43,0.01,15.41,584.0,0.13,1.04,0.14,1.44,-3.35,0.26,1.09,0.0,,0.0,0.004,CELL,P3,KA32,7.72,26.88,31.19,23.47,53990.87,8.36,129.94,35.63,534.57,CELL,2014-09-29,27.7,78.59,261.74,4.72,161.64,0.0,SEP102014P3
SEP102014,,,,SEP102014,KA32,KA32_091114_R0,KA32_091114_AP,17.69,2014-09-29,,,,,,,24.0,0.08,7.9,36.1,30.5,67.48,1.3,9.23,0.02,16.19,585.0,0.14,2.96,0.15,1.49,-2.66,0.29,0.34,,,,,CELL,P4,KA32,7.81,28.18,32.96,24.57,55205.33,7.12,113.13,36.5,,CELL,2014-09-29,27.7,78.59,261.74,4.72,161.64,0.0,SEP102014P4
